route,route_type,garage_code,garage_name,operator,vehicle,destination_outbound,destination_inbound,destination_outbound_qualifier,destination_inbound_qualifier,destination_outbound_full,destination_inbound_full,additional_journeys,frequency_peak_am,frequency_peak_pm,frequency_offpeak,frequency_overnight,frequency_weekend,length_km,length_miles
N19,night,SF,Stamford Hill,Arriva,DD,Clapham Junction,Finsbury Park Station,Clapham Junction Station,Finsbury Park Interchange,Clapham Junction,"Finsbury Park Station, Finsbury Park Interchange",,0.0,0.0,0.0,1.5,1.5,15.768,9.798
N20,night,HT,Holloway,Metroline,DD,Trafalgar Square,Barnet Church,Whitehall / Trafalgar Square,Barnet Hospital,Trafalgar Square,"Barnet Church, Barnet Hospital",,0.0,0.0,0.0,2.0,2.0,22.21,13.801
N21,night,NX,New Cross,Go-Ahead,DD,Trafalgar Square,"Bexleyheath, Shopping Centre",Charing Cross Station,Geddes Place,"Trafalgar Square, Charing Cross Station","Bexleyheath, Shopping Centre, Geddes Place",,0.0,0.0,0.0,3.0,2.0,26.751,16.622
N22,night,AF,Putney,Go-Ahead,DD,Piccadilly Circus,Fulwell,Margaret Street / Oxford Circus,South Road / Fulwell,"Piccadilly Circus, Margaret Street / Oxford Circus",Fulwell,,0.0,0.0,0.0,1.5,1.5,21.39,13.291
N25,night,BW,Bow,Stagecoach London,DD,Ilford,Oxford Circus,Great Titchfield St / Oxford Circus Stn,Hainault Street,"Ilford, Great Titchfield St / Oxford Circus Stn","Oxford Circus, Hainault Street",,0.0,0.0,0.0,4.5,5.5,17.971,11.167
N26,night,HK,Ash Grove,Stagecoach London,DD,Chingford Station,Victoria,,Westminster Cathedral / Victoria Stn,Chingford Station,Victoria,,0.0,0.0,0.0,2.0,2.0,25.692,15.964
N27,night,QB,Battersea,Transport UK,DD,Chalk Farm,Hammersmith,Hartland Road / Camden Market,Hammersmith Bus Station,"Chalk Farm, Hartland Road / Camden Market",Hammersmith,,0.0,0.0,0.0,2.0,2.0,11.62,7.22
N28,night,WJ,Willesden Junction,Metroline,DD,Wandsworth,Camden Town,Mapleton Crescent,Camden Town Station,"Wandsworth, Mapleton Crescent",Camden Town,,0.0,0.0,0.0,1.5,1.5,18.959,11.781
N29,night,WN,Wood Green,Arriva,DD,Trafalgar Square,Enfield,Trafalgar Square / Charing Cross Stn,Little Park Gardens,Trafalgar Square,"Enfield, Little Park Gardens",,0.0,0.0,0.0,6.0,6.0,19.72,12.253
N31,night,X,Westbourne Park,First,DD,Clapham Junction,Camden Town,Clapham Junction Station,Camden Town Station,Clapham Junction,Camden Town,,0.0,0.0,0.0,1.5,1.5,16.995,10.56
N32,night,W,Cricklewood,Metroline,DD,Victoria,Edgware,Victoria Station,Edgware Station,Victoria,Edgware,,0.0,0.0,0.0,2.0,2.0,16.814,10.447
N33,night,FW,Fulwell,First,SD,Hammersmith,"Fulwell, Stanley Road",Hammersmith Bus Station,Fulwell Station,Hammersmith,"Fulwell, Stanley Road, Fulwell Station",,0.0,0.0,0.0,1.5,1.5,16.772,10.422
N38,night,CT,Clapton,Arriva,DD,Victoria,Walthamstow Central,Victoria Bus Station,Walthamstow Bus Station,Victoria,"Walthamstow Central, Walthamstow Bus Station",,0.0,0.0,0.0,4.0,3.0,17.278,10.736
N41,night,AR,Tottenham,Arriva,DD,Tottenham Hale,Trafalgar Square,Tottenham Hale Bus Station,Trafalgar Square / Charing Cross Stn,Tottenham Hale,Trafalgar Square,,0.0,0.0,0.0,1.5,1.5,16.487,10.245
N44,night,SW,Stockwell,Go-Ahead,DD,Sutton Station,Aldwych,Sutton Station / the Quadrant,Aldwych / Drury Lane,Sutton Station,Aldwych,,0.0,0.0,0.0,1.5,1.5,25.015,15.543
N53,night,PD,Plumstead,Stagecoach London,DD,"Whitehall, Horse Guards",Plumstead Station,Horse Guards Parade,Griffin Road / Plumstead Station,"Whitehall, Horse Guards, Horse Guards Parade",Plumstead Station,,0.0,0.0,0.0,4.0,2.0,19.517,12.127
N55,night,T,Leyton,Stagecoach London,DD,Oxford Circus,Woodford Wells,Great Titchfield St / Oxford Circus Stn,St Thomas of Canterbury Church,Oxford Circus,"Woodford Wells, St Thomas of Canterbury Church",,0.0,0.0,0.0,2.0,2.0,22.718,14.116
N63,night,WL,Walworth,Transport UK,DD,King's Cross,Crystal Palace,King's Cross Station / York Way,Crystal Palace Parade / College Road,King's Cross,Crystal Palace,,0.0,0.0,0.0,3.0,2.5,16.142,10.03
N65,night,FW,Fulwell,First,DD,Ealing Broadway,Chessington,Ealing Broadway Station,Chessington World of Adventures,Ealing Broadway,Chessington,,0.0,0.0,0.0,1.5,1.5,24.51,15.23
N68,night,WL,Walworth,Transport UK,DD,Tottenham Court Road,Old Coulsdon,St Giles High Street,Old Coulsdon / Tudor Rose,"Tottenham Court Road, St Giles High Street",Old Coulsdon,,0.0,0.0,0.0,2.0,2.0,30.28,18.815
N72,night,S,Shepherd's Bush,First,SD,"Roehampton, Bessborough Road",East Acton,Norley Vale,Brunel Road,"Roehampton, Bessborough Road, Norley Vale","East Acton, Brunel Road",,0.0,0.0,0.0,2.0,2.0,15.612,9.701
N73,night,CT,Clapton,Arriva,DD,Walthamstow Central,Oxford Circus,Walthamstow Bus Station,Great Titchfield St / Oxford Circus Stn,"Walthamstow Central, Walthamstow Bus Station",Oxford Circus,,0.0,0.0,0.0,4.0,0.0,17.327,10.766
N74,night,AF,Putney,Go-Ahead,DD,Baker Street Station,"Roehampton, Danebury Avenue",,Minstead Gardens,Baker Street Station,"Roehampton, Danebury Avenue, Minstead Gardens",,0.0,0.0,0.0,1.5,1.5,16.784,10.429
N83,night,PV,Perivale [East],Metroline,DD,Ealing Hospital,Golders Green,,Golders Green Station,Ealing Hospital,Golders Green,,0.0,0.0,0.0,2.0,2.0,20.177,12.537
N86,night,NS,Romford,Stagecoach London,DD,"Harold Hill, Dagnam Park Square",Stratford,Dagnam Park Square,Stratford Bus Station,"Harold Hill, Dagnam Park Square",Stratford,,0.0,0.0,0.0,2.0,2.0,23.432,14.56
N87,night,SW,Stockwell,Go-Ahead,DD,Aldwych,Kingston,Aldwych / Drury Lane,Fairfield Bus Station,Aldwych,"Kingston, Fairfield Bus Station",,0.0,0.0,0.0,4.0,4.0,25.369,15.764
N89,night,NX,New Cross,Go-Ahead,DD,Erith,Trafalgar Square,Erith Town Centre / Riverside,Charing Cross Station,Erith,"Trafalgar Square, Charing Cross Station",,0.0,0.0,0.0,2.0,0.0,34.126,21.205
N91,night,NP,Northumberland Park,Go-Ahead,DD,Trafalgar Square,Cockfosters,Whitehall / Trafalgar Square,Cockfosters Station,Trafalgar Square,Cockfosters,,0.0,0.0,0.0,2.0,2.0,23.624,14.679
N97,night,AF,Putney,Go-Ahead,DD,Trafalgar Square,Hammersmith,Whitehall / Trafalgar Square,Hammersmith Bus Station,Trafalgar Square,Hammersmith,,0.0,0.0,0.0,2.0,2.0,9.925,6.167
N98,night,HD,Harrow Weald,Metroline,DD,Holborn,Stanmore Station,Red Lion Square,,"Holborn, Red Lion Square",Stanmore Station,,0.0,0.0,0.0,4.0,4.0,22.192,13.79
N109,night,BC,Beddington,Transport UK,DD,Oxford Circus,Croydon Town Centre,Conduit Street / Hamleys Toy Store,Park Street,"Oxford Circus, Conduit Street / Hamleys Toy Store","Croydon Town Centre, Park Street",,0.0,0.0,0.0,2.5,2.5,18.452,11.466
N113,night,EW,Edgware,Metroline,DD,Trafalgar Square,Edgware,Northumberland Avenue / Trafalgar Square,Edgware Station,Trafalgar Square,Edgware,,0.0,0.0,0.0,2.0,2.0,20.007,12.432
N118,night,X,Westbourne Park,First,DD,Whitehall / Trafalgar Square,Ruislip Station,,,Whitehall / Trafalgar Square,Ruislip Station,,0.0,0.0,0.0,4.0,2.0,26.884,16.705
N133,night,QB,Battersea,Transport UK,DD,Liverpool Street,Mitcham,Liverpool Street Station,Morden Station,Liverpool Street,"Mitcham, Morden Station",,0.0,0.0,0.0,1.5,1.5,20.369,12.657
N136,night,NX,New Cross,Go-Ahead,DD,"Chislehurst, War Memorial",Oxford Circus,,Conduit Street / Hamleys Toy Store,"Chislehurst, War Memorial","Oxford Circus, Conduit Street / Hamleys Toy Store",,0.0,0.0,0.0,2.0,2.0,27.62,17.162
N137,night,BN,Brixton Hill,Arriva,DD,Oxford Circus,Crystal Palace,John Prince's Street / Oxford Circus,Crystal Palace Parade,Oxford Circus,Crystal Palace,,0.0,0.0,0.0,3.0,0.0,19.822,12.317
N140,night,HD,Harrow Weald,Metroline,DD,"Harrow Weald, Bus Garage",Heathrow Central,Long Elmes,Heathrow Central Bus Station,"Harrow Weald, Bus Garage, Long Elmes",Heathrow Central,,0.0,0.0,0.0,2.0,0.5,21.202,13.174
N155,night,SW,Stockwell,Go-Ahead,DD,Aldwych,Morden,Aldwych / Drury Lane,Morden Station,Aldwych,Morden,,0.0,0.0,0.0,3.0,3.0,16.815,10.448
N171,night,NX,New Cross,Go-Ahead,DD,Tottenham Court Road,Hither Green Station,,Springbank Road / Hither Green Station,Tottenham Court Road,Hither Green Station,,0.0,0.0,0.0,1.5,2.0,18.864,11.721
N199,night,TL,Catford,Stagecoach London,DD,St Mary Cray Station,Trafalgar Square,,Trafalgar Square / Charing Cross Stn,St Mary Cray Station,Trafalgar Square,,0.0,0.0,0.0,2.0,2.0,34.75,21.593
N205,night,BW,Bow,Stagecoach London,DD,"Leyton, Downsell Road",Paddington,Drapers Field,Paddington Station,"Leyton, Downsell Road, Drapers Field",Paddington,,0.0,0.0,0.0,2.0,2.0,18.056,11.219
N207,night,GW,Southall,Transport UK,DD,Holborn,Uxbridge,Bloomsbury Square,Belmont Road,"Holborn, Bloomsbury Square","Uxbridge, Belmont Road",,0.0,0.0,0.0,4.5,3.0,27.94,17.361
N242,night,HK,Ash Grove,Stagecoach London,DD,Tottenham Court Road,Homerton Hospital,St Giles High Street,,"Tottenham Court Road, St Giles High Street",Homerton Hospital,,0.0,0.0,0.0,2.0,2.0,12.618,7.84
N250,night,TH,Thornton Heath,Arriva,DD,Croydon Town Centre,Brixton,Fairfield Halls,Brixton Station,"Croydon Town Centre, Fairfield Halls",Brixton,,0.0,0.0,0.0,2.0,2.0,13.311,8.271
N253,night,CT,Clapton,Arriva,DD,Tottenham Court Road,Aldgate,St Giles High Street,Aldgate Station,"Tottenham Court Road, St Giles High Street",Aldgate,,0.0,0.0,0.0,2.5,2.0,18.602,11.559
N263,night,PB,Potters Bar,Metroline,DD,"Moorgate, Finsbury Square",North Finchley,Finsbury Square,Tally Ho Corner,"Moorgate, Finsbury Square","North Finchley, Tally Ho Corner",,0.0,0.0,0.0,2.0,0.0,13.191,8.196
N266,night,W,Cricklewood,Metroline,DD,"Brent Cross, Shopping Centre",Hammersmith,,Hammersmith Bus Station,"Brent Cross, Shopping Centre",Hammersmith,,0.0,0.0,0.0,2.0,2.0,17.345,10.778
N277,night,HK,Ash Grove,Stagecoach London,DD,Crossharbour,"Islington, Angel",Isle of Dogs Asda,White Lion Street,"Crossharbour, Isle of Dogs Asda","Islington, Angel, White Lion Street",,0.0,0.0,0.0,2.0,2.0,15.922,9.894
N279,night,E,Enfield,Arriva,DD,Trafalgar Square,Waltham Cross,Trafalgar Square / Charing Cross Stn,Waltham Cross Bus Station,Trafalgar Square,Waltham Cross,,0.0,0.0,0.0,3.0,3.0,23.311,14.485
N343,night,NX,New Cross,Go-Ahead,DD,New Cross Gate,Trafalgar Square,New Cross / Jerningham Road,Whitehall / Trafalgar Square,"New Cross Gate, New Cross / Jerningham Road",Trafalgar Square,,0.0,0.0,0.0,2.0,2.0,15.099,9.382
N381,night,WL,Walworth,Transport UK,DD,"Whitehall, Horse Guards",Peckham,Horse Guards Parade,Peckham Bus Station,"Whitehall, Horse Guards, Horse Guards Parade",Peckham,,0.0,0.0,0.0,2.0,2.0,15.717,9.766
N472,night,MG,Morden Wharf (Greenwich),Go-Ahead,DD,Gayton Road / Abbey Wood Station,North Greenwich Station,,,Gayton Road / Abbey Wood Station,North Greenwich Station,,0.0,0.0,0.0,2.0,2.0,15.03,9.339
N550,night,HK,Ash Grove,Stagecoach London,DD,Canning Town,Trafalgar Square,Canning Town Station,,Canning Town,Trafalgar Square,,0.0,0.0,0.0,2.0,2.0,17.699,10.998
N551,night,BK,Barking,Stagecoach London,DD,"Gallions Reach, Shopping Park",Trafalgar Square,,,"Gallions Reach, Shopping Park",Trafalgar Square,,0.0,0.0,0.0,2.0,0.5,20.226,12.568
